"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Code.nlogo"
"Memory Sharing Experiment"
"11/25/2024 11:29:45:396 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","memory-satisfact","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"2","0","1000","0.9738628649015615","1.341121495327103","0.9987341772151899","0.9322784810126582","0.9091772151898734","0.969749078213202","1.4390029325513196","0.9991160187196035","0.9374177958584407","0.9099440247147708","0.002512846575187758","0.9634013778304817","0.0019340448359591172","0.03215173075837145"
"5","0","1000","0.9616135328562134","1.6726190476190477","0.9984577421344849","0.9481801357186922","0.9133251079580506","0.9686324051177293","1.4635279854516063","0.9994959486875764","0.9376362513703895","0.9087289086028958","0.002556990552136604","0.9631258848343013","0.0012134870416919475","0.03310363757187021"
"3","0","1000","0.9673847995212448","2.0686274509803924","1","0.9703832752613241","0.9387340301974448","0.9610365080912459","3.12862930452397","0.9994613681249626","0.9822730265126578","0.9445388712669819","3.133551985627442E-4","0.9564854080929203","0.0031683692299121907","0.04003286747860481"
"4","0","1000","0.9664694280078896","1.5260416666666667","0.9996907854050712","0.9406307977736549","0.909400123685838","0.9699067317642689","1.4232616212063005","0.9991964507321917","0.9353933978654753","0.9080479027053859","0.005673465309792615","0.9612206157315559","9.206000314003112E-4","0.03218531892725119"
"6","0","1000","0.9678402166553826","1.36864406779661","0.9974921630094044","0.9260188087774295","0.8987460815047021","0.966765444432444","1.4354546278669205","0.999246112768965","0.9306989162871054","0.9005214386681326","4.4570327663795965E-4","0.9624099607493568","0.0018403232067631882","0.03530401276724225"
"1","0","1000","0.9490740740740741","2.7127659574468086","0.9988002399520096","0.9718056388722256","0.9235152969406119","0.9619625520110957","1.9420042297055473","0.9985251901169531","0.9626927722177377","0.9275492058482584","0.02018490526241783","0.937547017260168","0.0017225014940063978","0.04054557598340774"
"7","0","1000","0.9572127139364304","2.1083333333333334","0.9979363207547169","0.964622641509434","0.9254127358490566","0.9591850212990787","1.7695740882427953","0.9990895219676372","0.950758836346283","0.9128641127234596","0.003457521366906992","0.9514221842046623","4.2410345248963105E-4","0.044696190975941116"
"10","0","1000","0.9639917695473251","1.6402439024390243","1","0.9467532467532468","0.9126623376623376","0.9569813374178725","1.6976420865309754","0.9991700719059837","0.9430390573030505","0.9033007063891793","6.523961059201321E-4","0.9520851304429768","8.191195552108325E-4","0.04644335389589207"
"8","0","1000","0.9609375","1.5606060606060606","0.9987269255251432","0.9369828134945895","0.9016549968173138","0.9620029239766081","1.48171513060621","0.9978835618768928","0.9309605634761305","0.8977032222940556","0.023363457700683675","0.9338629758625661","0.0022081085387784835","0.040565457897971724"
"9","0","1000","0.9589460784313726","1.6927083333333333","0.9997106481481481","0.9444444444444444","0.9059606481481481","0.9560241046454231","1.7457838479809977","0.9991249902776698","0.9454253195405875","0.9047244043452335","5.50705269882296E-4","0.9518316457276286","9.398703272657852E-4","0.04667777867522341"
"11","1","1000","0.9972510690287111","1.15625","0.9987900786448881","0.9903206291591047","0.9888082274652148","0.9978979796776335","1.0533602986932171","0.9988911981189371","0.982092013840522","0.9811364383500583","0.01693123100556616","0.9803422156903168","8.31266251255212E-4","0.0018952870528618835"
"12","1","1000","1","1","1","0.9631057268722467","0.9631057268722467","0.9989501893248312","1.0080565371024734","0.9993199348055645","0.959396951471466","0.9590698315045223","2.853629204856605E-4","0.9979820764908514","7.202016564638099E-4","0.001012358932199129"
"13","1","1000","1","0.9754098360655737","0.9980842911877394","0.9220945083014048","0.9240102171136654","0.998069461411382","1.0154478225143797","0.9993123997249599","0.9284778175449732","0.9273729555645669","0.011710587115595495","0.9858272929784755","3.103512486465237E-4","0.0021517686572825644"
"16","1","1000","1","0.9375","0.9988706945228685","0.9819311123658949","0.9830604178430266","0.9994582043343653","0.9719853836784409","0.998826494888671","0.977006021565607","0.9776501890491528","0.03421401761368561","0.9643659539857463","9.666860003866743E-4","4.53342400181337E-4"
"15","1","1000","0.9909620991253645","1.2338709677419355","0.9994372537985369","0.9651097355092854","0.9569499155880697","0.9961574797427419","1.0713888502710969","0.9992978139381031","0.9582576500560008","0.9552777116858849","0.002557736641794099","0.9929338262376036","0.0020598305755248477","0.0024486065450775507"
"14","1","1000","0.99013367281986","1.5714285714285714","0.9978015075376885","0.9868090452261307","0.9792713567839196","0.995659291882357","1.1958900059136606","0.9994882842538563","0.9808770977518433","0.9771311123173655","0.007697883249889264","0.9871880914350144","0.0030939182024402358","0.0020201071126562057"
"17","1","1000","0.9924454392837158","1.2375","0.9978106185002736","0.9781061850027367","0.9729064039408867","0.9955989002907667","1.1425798745894298","0.9983316955635871","0.9814071495589125","0.9787561832747622","0.03632285805287186","0.9580833952648902","0.002375517570867396","0.003218229111370634"
"18","1","1000","0.9981504315659679","1.06","1","0.9700956937799043","0.9683014354066986","0.9971107506816187","1.0360739640085852","0.9984360434426137","0.9659860507429495","0.9647590327616609","0.023599607563086905","0.9728831432327992","0.0023693044923347993","0.001147944711779114"
"21","2","1000","0.9990297542043984","1.0129870129870129","0.9996919285274184","0.9525569932224276","0.9519408502772643","0.9985116920725077","1.0138279192273925","0.9993324825180995","0.9464104026865373","0.9456693700634583","0.004857337189889594","0.9929510212774729","0.0014359030731073907","7.557384595302057E-4"
"19","1","1000","0.9942424242424243","1.2159090909090908","1","0.974025974025974","0.968417945690673","0.9981403067063401","1.0607066950053134","0.9994594564316283","0.9789160000896238","0.9776360601375725","8.220002004878538E-4","0.9967320479834264","0.00102917098272463","0.001416780833361179"
"20","1","1000","0.9977641140301845","1.0344827586206897","0.9989171629669734","0.9685977260422306","0.9675148890092041","0.9964081637432378","1.0808988764044944","0.9989695930602235","0.9696838949950041","0.9672313561631393","0.010660837397006894","0.9849604842777872","0.003383218429460232","9.954598957457542E-4"
"22","2","1000","0.9984830097087378","1.0308641975308641","1","0.9531521110468479","0.9517061885482938","0.9988470082580769","1.004877762106253","0.9991416136515009","0.9511494912840771","0.9509112101237913","0.0023121308896618597","0.9958910518500438","9.01798851393042E-4","8.950184089013649E-4"
"23","2","1000","0.9996807151979565","0.996551724137931","0.9994155464640561","0.9152542372881356","0.9155464640561075","0.9987345501292232","1.0036317871269327","0.9991516547326641","0.9148285852541055","0.9145192608064486","4.5289855072463763E-4","0.9977072010869565","0.0014648437499999998","3.7505661231884056E-4"
"24","2","1000","0.9979873490511788","1.025","0.9985947161326588","0.9775154581225407","0.9769533445756042","0.9938282514994641","1.2781456953642385","0.9991131279445831","0.9814120569836279","0.9762419006479481","0.002982803835605469","0.99023081696795","0.0020619382219286128","0.004724440974516045"
"27","2","1000","1","0.9893617021276596","0.9993849938499385","0.942189421894219","0.9428044280442804","0.9988282557750251","1.005356611447277","0.9992056937705746","0.9421848296112775","0.9418751362077469","0.0024612672475166964","0.9958504254669965","7.390582093094213E-4","9.492490761772382E-4"
"25","2","1000","0.9993876301285977","1.0081967213114753","1","0.9304843304843304","0.9299145299145299","0.998244203620928","1.010153102336825","0.9991244527829893","0.926084755353048","0.9253342863098961","0.0029600155279503105","0.9945721495119788","5.337732919254659E-4","0.001934061668145519"
